,$BL_{200m}^{surf}$,$BL_{200m}^{4L}$,Masse center [m],$Entropy$,$MKE$,$EKE$,$\zeta/f$,$OW/f$
0,0.06586224210104741,0.04538152895220815,136.16246774333,6.49859315380124,90.161644,81.08741,-4.5756536,7.353759
1,0.2730134178291469,0.24154833711639223,135.92569961007888,6.870018331522461,94.393936,65.20934,-2.448304,1.9519813
2,0.0600842098643104,0.09293336423375975,110.30122429878544,6.383712355694373,101.23405,81.522095,4.2282333,-1.1184123
3,0.023323729014905537,0.00970841432040026,63.25538058469507,5.672064258827105,124.491585,30.544758,-4.8584237,-2.5639691
4,0.1860929449126114,0.1268892050555599,183.42266367048688,6.092232117725013,126.78722,46.11826,0.86074257,3.9613008
5,0.12438331894923127,0.09924945530085238,216.04069256540257,6.376311963858145,107.29565,49.957703,-0.39035922,-0.6815469
6,0.19421210666007394,0.10402320007050303,109.27939415678735,6.014067195174927,96.03792,44.335518,-4.422597,-1.9924875
7,0.17055126196157433,0.07305128581332543,164.26318617358146,5.8820040527432536,98.04788,56.59798,0.75809854,3.3199964
8,0.082433936438283,0.05339021478635109,172.29897114848407,5.953147314393107,81.99155,39.126766,2.992471,7.935832
9,0.11599650029090036,0.0724079992969271,178.02668209291474,6.3017362214923205,78.74255,47.426525,3.2203755,1.3049817
10,0.027464865691550933,0.04636258700926554,61.61826569978012,6.22747880496518,88.99188,58.45976,-5.063697,4.5962467
11,0.12890684174097278,0.12623444403893658,50.77027848428277,6.660976013501157,65.39955,46.693817,-2.4394324,1.0908389
12,0.20214744411590602,0.08769990913123238,147.56975233420505,6.353637211416718,74.22668,38.89399,2.1980085,0.75327045
13,0.044234498553186175,0.1622697088262498,113.98581008060208,5.621845130367343,83.72401,35.59767,1.0721782,1.7039498
14,0.17593325508255708,0.1149436056661296,68.46413136649909,6.8485273526028525,114.183044,38.295578,1.8282894,3.0001757
15,0.29376667158817593,0.2797012276706542,241.8491966092444,6.60183401678801,91.032745,53.280174,-3.7291367,0.9167942
16,0.01140167484679333,0.004815692655124493,24.418681582801003,5.530739616428414,130.60378,35.720356,-4.9759507,-2.2001977
17,0.16582573146526725,0.09790701688462677,110.1059101757297,5.856242562045466,60.268257,40.85885,1.7362287,0.33617565
18,0.06004343131195944,0.04325732367623136,95.3303784259663,6.7427882702869555,136.77954,45.309242,-2.5243597,2.6451194
19,0.10661562446530581,0.07334747218032045,132.69863942738405,6.656134834021485,85.19846,31.24048,2.2488892,3.792255
20,0.3937535093293727,0.3391539351092544,256.72231126378136,6.01980367349578,88.6018,51.42517,-1.0553917,2.0215497
21,0.1332126192229387,0.10352315988278171,113.81986388410878,6.450526368026311,89.05605,32.25988,-1.0243076,4.415183
22,0.16693713734062177,0.06614706724883868,181.2293648167933,6.355571561589799,98.329956,34.729946,0.23702432,0.29568976
23,0.1590762881732698,0.09565562427781638,139.66978694985102,6.314938457762411,132.37428,40.072838,-1.8479595,20.56181
24,0.37638039319466365,0.21618150714988227,270.3142450537745,5.708873866459044,91.75101,27.172848,0.5851613,0.274327
25,0.2003676857519633,0.1956417428594176,182.5188551259384,6.4468702701159755,98.702896,72.29626,3.285296,0.93726224
